test_name,pBinomial,zFull,pFull,zHalf,pHalf,kFull,kHalf
Right-skewness test,0,-11.293,0,-10.422,0,11(47.8%),11(47.8%)
Flatness test,1,8.061,1,9.152,1,11(47.8%),11(47.8%)
