reg_num,moderator,estimate,se,tval,ci_lb,ci_ub,pval,rho
1,intrcpt,0.92,1.222,0.753,-3.23,5.071,0.512,0.9
1,dec_diff,-0.122,0.216,-0.568,-0.819,0.574,0.611,0.9
2,intrcpt,1.281,1.591,0.805,-4.83,7.392,0.496,0.9
2,prop_female_gen,-1.96,2.695,-0.728,-13.04,9.119,0.539,0.9
3,cor_typeCOR,0.054,0.193,0.281,-0.776,0.884,0.805,0.9
3,cor_typeRPB,0.362,0.126,2.872,-0.043,0.766,0.065,0.9
4,effort_typecognitive,0.47,0.023,20.248,0.388,0.552,0.001,0.9
4,effort_typephysical,-0.09,0.053,-1.705,-0.325,0.144,0.234,0.9
5,domaingain,0.255,0.111,2.299,-0.017,0.527,0.062,0.9
5,domainloss,0.069,0.106,0.649,-0.195,0.333,0.542,0.9
