id,estimate,choice,age,gender,cond,cond_num
R_2rPyBNaK5msVdKs,100,Option A,58,Male,1 year,365
R_e8MF8JebtJ0LrhL,15,Option A,36,Female,2 weeks,14
R_9WDlHvMGDAwONkl,20,Option B,55,Female,1 day,1
R_1pDqIbiFj93zCoz,15,Option B,25,Male,2 weeks,14
R_ZEtBjIcOpHyNStb,12,Option A,61,Female,1 month,30.41666667
R_2c0MSrpgr9tUgz7,12,Option A,29,Male,1 day,1
R_1CatuLddNhUCrZt,50,Option B,57,Female,1 year,365
R_1lohpz8HXvWgirL,20,Option A,25,Female,1 month,30.41666667
R_24OtbBAucQ38LZQ,100,Option B,30,Female,1 year,365
R_3q9erzU03U8O1QZ,15,Option B,54,Female,2 weeks,14
R_rlnM00NKPLGFX9f,11,Option B,56,Male,6 months,182.5
R_1P5H0VH19C5PtXb,20,Option A,67,Female,6 months,182.5
R_uaaDZDBpSBG181b,12,Option B,30,Female,1 month,30.41666667
R_2Pn7DNDhWpmBptN,20,Option A,35,Male,1 year,365
R_2QG7z2NmmueYXem,20,Option A,34,Female,1 year,365
R_3RvAVCs005Io3mA,15,Option B,30,Male,1 day,1
R_25tlS52Ng1d7AsV,15,Option B,24,Male,1 week,7
R_Xvxk0sRvW4miIGR,15,Option B,29,Female,1 month,30.41666667
R_1K7k68MXOFqH1YU,60,Option B,28,Male,6 months,182.5
R_2eR9LRIUZUGmA6Q,15,Option A,27,Male,1 week,7
R_3Rf3W8Sh0zXE4uW,100,Option B,37,Female,1 month,30.41666667
R_3NPBJ5A6uTeHj7p,2,Option A,29,Male,1 month,30.41666667
R_BrWz0scWVDJUyTn,15,Option A,25,Female,2 weeks,14
R_3RvXygjvdCiizq0,12,Option A,27,Male,1 day,1
R_3GvuUyAFXssUcXm,15,Option A,54,Female,6 months,182.5
R_3L7w2BTL91PwpbD,15,Option B,36,Male,2 weeks,14
R_3FUmwOtGzL4SWqD,50,Option B,33,Female,2 weeks,14
R_5dV30C73ASWjCZX,15,Option A,51,Male,1 month,30.41666667
R_3dWf8ibYtrxmYba,10,Option A,62,Female,1 day,1
R_puCwNvy1m395oB3,60,Option B,32,Male,6 months,182.5
R_29rWjAHV7Pwphyr,24,Option A,24,Male,6 months,182.5
R_1OrENFb5FZxMUHQ,100,Option B,26,Female,6 months,182.5
R_24xiNY1Nb2f5B6k,65,Option B,25,Male,6 months,182.5
R_1MRruB4yI4vv9Ub,11,Option B,28,Male,1 day,1
R_3qwISyE6sP0nMVj,12,Option B,35,Male,1 day,1
R_enbejhYXGPyh9RL,12,Option B,63,Male,1 day,1
R_3EbxQNV9PqbVx9F,100,Option B,26,Male,1 year,365
R_2tL0W1n8ScABT1d,50,Option B,32,Male,2 weeks,14
R_2SujnfimBUO067d,15,Option A,29,Male,1 year,365
R_pmkDMY5anDSkt9v,15,Option B,44,Male,1 week,7
R_3mxszBecEWWktG1,15,Option B,29,Male,1 day,1
R_2zV10QoLGq54CDb,12,Option A,46,Male,1 week,7
R_1BXla8pppIknVKB,12,Option B,39,Male,1 month,30.41666667
R_1DzZAlzOwseUn7d,11,Option A,28,Male,1 year,365
R_2sYExbT5LPUzQ6D,12,Option B,33,Male,1 day,1
R_2AMUPsnurcrYaYk,20,Option A,29,Male,1 year,365
R_22WDuWAwyQAd6no,100,Option B,20,Female,1 year,365
R_3qgUaiNa5xg9J3a,20,Option B,41,Male,2 weeks,14
R_269AovOSyKH1bOI,20,Option B,27,Male,1 week,7
R_u96Ruz44PPZOPkt,11,Option B,47,Male,1 week,7
R_2Enq9gCBDzNJuRT,13,Option A,41,Female,2 weeks,14
R_1DoQCEw6Sn2rf6z,20,Option B,31,Male,2 weeks,14
R_25tFoZvUldttJE9,15,Option B,37,Male,1 day,1
R_3EKHNaEA9ijbZue,20,Option A,33,Female,2 weeks,14
R_2CQc6QfpL00Svi0,12,Option A,53,Female,1 week,7
R_YS9IoYbSuD7T105,20,Option B,67,Female,1 day,1
R_bfPE59RffioYeat,20,Option B,28,Female,1 month,30.41666667
R_xoniysYKvMSan0R,12,Option B,35,Female,1 week,7
R_PLJZX5l9pscTIL7,0,Option A,57,Female,6 months,182.5
R_6Y87dvR8Wi4B009,15,Option B,34,Female,1 month,30.41666667
R_30oTi90lEKa6YG4,15,Option A,25,Male,1 week,7
R_V415muUOZ8VToAN,14,Option B,30,Male,2 weeks,14
R_ZjGaQui8bCBMzct,75,Option B,38,Female,6 months,182.5
R_2ZPI6PLnRhgMJbs,50,Option B,30,Female,2 weeks,14
R_3W4EsTD05kZB8wp,10.25,Option B,32,Male,1 day,1
R_333XvwvablrTk9t,18,Option B,42,Male,1 week,7
R_3NWI1C8L6YmQPug,9,Option B,24,Male,2 weeks,14
R_xADjTyT1Z5S0Ptf,11,Option B,35,Male,1 day,1
R_2PiJ637p0h7wTUR,12,Option B,27,Male,1 day,1
R_3dQc22u9TXqll42,11,Option B,47,Male,1 month,30.41666667
R_1IAAgEFrW6M6YW1,20,Option A,37,Female,6 months,182.5
R_2QMntAv6dez7cVA,15,Option B,43,Female,1 week,7
R_31tRBxfXOkvXq65,20,Option A,33,Male,1 year,365
R_PuD1fgJkEI2TVHH,15,Option B,35,Male,1 week,7
R_1cTh13q2o0KXFfa,10,Option A,43,Male,2 weeks,14
R_SHL2i1SeWFTJz1L,15,Option B,30,Female,1 week,7
R_2Yil1OcfJYuKiRD,20,Option B,32,Female,1 day,1
R_2Ed7RncVSpoUSJQ,15,Option B,47,Male,1 month,30.41666667
R_0ez9RrnCEBmTusp,12,Option A,31,Male,1 week,7
R_3suoqgwY0IB6JNl,15,Option B,43,Female,2 weeks,14
R_oYIEfawMCHcQPyp,20,Option B,30,Female,1 year,365
R_31AvFmAFEY6r5Pw,20,Option B,23,Female,6 months,182.5
R_1hWspMBH0yz2xyv,100,Option A,21,Male,1 year,365
R_1yIgphbq4dgCaoV,20,Option B,47,Female,1 week,7
R_2w75Vng5rp82StQ,100,Option B,20,Female,1 month,30.41666667
R_30cuEyzh9kMDqC6,15,Option B,43,Female,2 weeks,14
R_PS6VXDos9z0IVRD,20,Option B,27,Female,1 week,7
R_8dACuEJQ6ExK90t,15,Option B,32,Female,1 month,30.41666667
R_2aYc83TFDVmq53R,20,Option B,28,Male,1 week,7
R_1NEPOj0W5Ger2Wr,15,Option B,33,Male,1 month,30.41666667
R_33v8rPNjB6MeHlv,20,Option B,34,Female,2 weeks,14
R_2BzzKq3aG5cDeEV,20,Option A,59,Male,1 month,30.41666667
R_00PkNu5fRkC4XRv,11,Option B,30,Male,1 day,1
R_2VQK4aeNQfE99qo,15,Option B,44,Female,1 day,1
R_2q3N1ef447tFtD4,100,Option A,29,Male,1 year,365
R_3nOcaALmUC6Z8cR,20,Option B,54,Female,1 week,7
R_ApPlUwZM3g6485b,12,Option B,33,Male,1 year,365
R_3RdRpkmdKz5x1UT,15,Option B,27,Female,1 day,1
R_W9dex3fFxYPulzj,20,Option A,51,Female,1 month,30.41666667
R_3MiCwEfIQBNprk0,11,Option B,35,Male,1 day,1
R_8xhzqjNs6yiSA4F,15,Option B,30,Male,2 weeks,14
R_2rMWPYHArRAXmik,6,Option A,49,Male,1 year,365
R_3PYm3WvvNyfhYuz,20,Option A,53,Female,6 months,182.5
R_3qQ0y5jwI6roIyQ,50,Option B,33,Male,1 year,365
R_3GkeNO1bMyjAB5c,20,Option A,55,Male,6 months,182.5
R_2OJwIJMeYo1aZ9r,15,Option B,29,Male,1 week,7
R_1fdWaIM8jhPkvl1,15,Option A,48,Male,6 months,182.5
R_3MlfyPmgK674T6W,15,Option B,69,Female,1 month,30.41666667
R_1DUQ48fV9egASY7,20,Option A,30,Male,1 month,30.41666667
R_3E9LejbmT7JqmWs,20,Option B,34,Male,2 weeks,14
R_1pMbdFWKTaXSo8R,15,Option B,49,Female,2 weeks,14
R_cUf01awDxla6BSF,11,Option B,35,Male,1 day,1
R_1K2v3JdyuYiyudC,50,Option B,30,Female,6 months,182.5
R_2asibLA7v2Ygu0I,15,Option B,61,Female,6 months,182.5
R_3FQCV4pN2cqHdWL,15,Option B,23,Female,1 week,7
R_1jy4vSmIyWTdY8M,50,Option A,39,Male,1 year,365
R_9yOJ0qraFA0EZsB,12,Option B,28,Female,1 day,1
R_1kTiU34MH9jjnF7,11,Option B,40,Male,1 day,1
R_3M67ka8aFZQwhs9,15,Option B,28,Male,6 months,182.5
R_XXGwpRAQD3zTm0N,15,Option B,43,Female,1 day,1
R_3FKTkuB9pXPfHjQ,50,Option B,53,Female,1 year,365
R_1LCePKEFfeJGUZ4,100,Option B,36,Female,1 year,365
R_1P1nikFdS3l42sj,15,Option A,60,Male,2 weeks,14
R_3m4O6MDopsdg75D,25,Option A,33,Female,1 year,365
R_23Wzepq0UvBE8Fi,20,Option B,20,Male,2 weeks,14
R_AndXXDOZ20WCFKF,12,Option A,29,Female,1 month,30.41666667
R_p9vjnvl5plGHQ8V,12,Option A,46,Female,1 week,7
R_1jwfgBsb3r2ckuZ,100,Option A,30,Male,1 month,30.41666667
R_5nj4z9sQbfGbOqB,20,Option A,43,Female,2 weeks,14
R_1FenoAzJeg5lQ5K,10,Option A,34,Male,6 months,182.5
R_3nhZHPfHxEUkXDf,15,Option B,36,Male,1 month,30.41666667
R_2pMtc5ep6X1SrCa,15,Option B,21,Male,1 week,7
R_3HLn09QMMm4Tzua,15,Option B,25,Female,1 day,1
R_RWvpB2I6g6LEK2Z,50,Option B,43,Female,2 weeks,14
R_2COKU1gHaz2NUs4,12,Option B,24,Male,1 week,7
R_1EWeCxETP8LsZ4B,20,Option B,29,Male,1 day,1
R_3oH4juvSWnfx9EB,15,Option B,33,Male,6 months,182.5
R_1Cei1zfyiZ3ey2f,100,Option B,24,Male,1 year,365
R_1Eb4wzIvXNFdFhZ,15,Option B,34,Male,1 week,7
R_2DSVciHAkIQIhJw,100,Option B,54,Female,1 year,365
R_2zVh8XIrOSDTm0F,20,Option B,35,Female,1 month,30.41666667
R_6xRc6byHv8L0N5T,11,Option B,38,Male,2 weeks,14
R_Zwp8DkMDc58dUHv,15,Option A,24,Male,1 week,7
R_2eRlrJabSaoQaNB,20,Option B,44,Male,2 weeks,14
R_2zuxZWzRQ7lYshc,20,Option B,47,Male,1 year,365
R_3JDdW2PCsw6T4lm,100,Option B,44,Female,1 year,365
R_UMdUQkDrWJD33aN,20,Option B,22,Male,2 weeks,14
R_2f2HIvR4c7aMHOu,30,Option A,39,Female,6 months,182.5
R_6SCctGaFEBucUh3,11,Option B,44,Male,1 day,1
R_3poskSUOvTrTxzm,5,Option A,29,Female,1 year,365
R_V3XVTu2vr8ymtGh,15,Option B,53,Male,1 month,30.41666667
R_OpsayzU5jqsgJLb,80,Option B,30,Male,6 months,182.5
R_31bXj5z1jjypcNX,100,Option A,39,Female,1 year,365
R_2xF3XJ1GQBiwNd7,20,Option B,30,Male,1 month,30.41666667
R_5BIyXx6JAWnjS5X,20,Option B,27,Male,1 month,30.41666667
