subid,age_group,indif_point,force_lvl,cond_domain
22,ya,3,1,punish
22,ya,3,2,punish
22,ya,3,3,punish
22,ya,3,4,punish
22,ya,9.5,5,punish
22,ya,12.499028137338,6,punish
23,ya,3.07222132157585,1,reward
23,ya,6.49998629792782,2,reward
23,ya,15.9998951968869,3,reward
23,ya,21.8702231098386,4,reward
23,ya,28.498105028629,5,reward
23,ya,36.2289339848804,6,reward
23,ya,3,1,punish
23,ya,5.5,2,punish
23,ya,14.5990498899933,3,punish
23,ya,19.9947800585155,4,punish
23,ya,25.6492277749608,5,punish
23,ya,32.0089102111029,6,punish
101,oa,2.89168298536712,1,reward
101,oa,2.76860923957297,2,reward
101,oa,10,3,reward
101,oa,25.8023485077606,4,reward
101,oa,57.4916087761376,5,reward
101,oa,74.0002634779345,6,reward
101,oa,2.85985613493494,1,punish
101,oa,4.49858660850437,2,punish
101,oa,5.32512532837984,3,punish
101,oa,8.00137674345815,4,punish
101,oa,12.6538133421047,5,punish
101,oa,17.6847690720501,6,punish
102,oa,2.6092567164445,1,reward
102,oa,4.49858660850437,2,reward
102,oa,9.5,3,reward
102,oa,8.00137674345815,4,reward
102,oa,23.6894090570671,5,reward
102,oa,32.5046425730419,6,reward
102,oa,7,1,punish
102,oa,5.25,2,punish
102,oa,2.70853677223895,3,punish
102,oa,8.00137674345815,4,punish
102,oa,8.72496429214822,5,punish
102,oa,8.6795397941341,6,punish
103,oa,7.15675847873268,1,reward
103,oa,8.99988962047049,2,reward
103,oa,17.1412564893292,3,reward
103,oa,20.9948036434444,4,reward
103,oa,46.0001026069168,5,reward
103,oa,32.5,6,reward
103,oa,5.82741934523442,1,punish
103,oa,10.5,2,punish
103,oa,8.98194586340776,3,punish
103,oa,9.97365540146747,4,punish
103,oa,19.7923294840405,5,punish
103,oa,38.2593050245875,6,punish
104,oa,2.37948522195145,1,reward
104,oa,3.05814874979286,2,reward
104,oa,5.32512532837984,3,reward
104,oa,12.7582864647819,4,reward
104,oa,22.7839077667409,5,reward
104,oa,33.4980381377341,6,reward
104,oa,3,1,punish
104,oa,3,2,punish
104,oa,3,3,punish
104,oa,2.54880180599599,4,punish
104,oa,10.8739426585335,5,punish
104,oa,16,6,punish
105,oa,7.50466958697771,1,reward
105,oa,8.99988962047049,2,reward
105,oa,10.0001629604232,3,reward
105,oa,8.41356061348406,4,reward
105,oa,12.6538133421047,5,reward
105,oa,11.5001157871846,6,reward
105,oa,2.6092567164445,1,punish
105,oa,3.61289456854712,2,punish
105,oa,5.32512532837984,3,punish
105,oa,8.00137674345815,4,punish
105,oa,5.32957193303353,5,punish
105,oa,5.33171012472699,6,punish
106,oa,5,1,reward
106,oa,3,2,reward
106,oa,10.9812272921126,3,reward
106,oa,69.9892429922896,4,reward
106,oa,60.4275483023936,5,reward
106,oa,72,6,reward
106,oa,8.00505544187631,1,punish
106,oa,8.49508722737646,2,punish
106,oa,10.9819005520714,3,punish
106,oa,8.00137674345815,4,punish
106,oa,8.72496429214822,5,punish
106,oa,11.0002911237889,6,punish
107,oa,6.53806953207717,1,reward
107,oa,6.06438606638382,2,reward
107,oa,5.51494457712746,3,reward
107,oa,8.00137674345815,4,reward
107,oa,12.6538133421047,5,reward
107,oa,22.5644184793876,6,reward
107,oa,3,1,punish
107,oa,3,2,punish
107,oa,3,3,punish
107,oa,3,4,punish
107,oa,2.81190610643084,5,punish
107,oa,10.504175945511,6,punish
110,oa,3,1,reward
110,oa,3,2,reward
110,oa,2.22709904709041,3,reward
110,oa,18.9910397825326,4,reward
110,oa,22.6338696150031,5,reward
110,oa,18.5751342615184,6,reward
110,oa,3,1,punish
110,oa,3,2,punish
110,oa,2.11185849010948,3,punish
110,oa,2.69095230723323,4,punish
110,oa,16.0008158273106,5,punish
110,oa,7.44879629395446,6,punish
111,oa,7.5,1,reward
111,oa,6.50083397391649,2,reward
111,oa,8.98254497064859,3,reward
111,oa,8.00137674345815,4,reward
111,oa,14.959590327445,5,reward
111,oa,18.7705415830548,6,reward
111,oa,2.84338875476421,1,punish
111,oa,3.05835266151122,2,punish
111,oa,5.32512532837984,3,punish
111,oa,4.82994163609432,4,punish
111,oa,16.0008158273106,5,punish
111,oa,44.7382989846128,6,punish
112,oa,7,1,reward
112,oa,2.82398928667982,2,reward
112,oa,8.5,3,reward
112,oa,2.6399758854704,4,reward
112,oa,25.5,5,reward
112,oa,3.23287636438438,6,reward
112,oa,2.6657433869511,1,punish
112,oa,3,2,punish
112,oa,3,3,punish
112,oa,3,4,punish
112,oa,3,5,punish
112,oa,2.80909988114043,6,punish
115,oa,26.997114090973,1,reward
115,oa,11.9078037566364,2,reward
115,oa,16.6029050024399,3,reward
115,oa,35.4594639360367,4,reward
115,oa,24.7651178754618,5,reward
115,oa,56.0019608079381,6,reward
115,oa,7,1,punish
115,oa,3,2,punish
115,oa,12.5,3,punish
115,oa,7.49389256203708,4,punish
115,oa,21.0085207826587,5,punish
115,oa,29,6,punish
116,oa,3,1,reward
116,oa,3,2,reward
116,oa,3,3,reward
116,oa,3,4,reward
116,oa,5.32957193303353,5,reward
116,oa,12.0001635083707,6,reward
116,oa,3,1,punish
116,oa,3,2,punish
116,oa,3,3,punish
116,oa,3,4,punish
116,oa,2.81267648158525,5,punish
116,oa,5.33171012472699,6,punish
118,oa,3,1,reward
118,oa,3,2,reward
118,oa,3,3,reward
118,oa,10.9999132622517,4,reward
118,oa,16.0008158273106,5,reward
118,oa,12.9977189165592,6,reward
118,oa,3,1,punish
118,oa,3,2,punish
118,oa,3,3,punish
118,oa,3,4,punish
118,oa,10,5,punish
118,oa,11.25,6,punish
119,oa,4.00880901550858,1,reward
119,oa,7.69446998194749,2,reward
119,oa,7.78735084654019,3,reward
119,oa,9.50284612961102,4,reward
119,oa,17.7643969541118,5,reward
119,oa,33.9999810368517,6,reward
119,oa,2.68623298840947,1,punish
119,oa,3.49991229627995,2,punish
119,oa,5.32512532837984,3,punish
119,oa,8.00137674345815,4,punish
119,oa,10.9999999999944,5,punish
119,oa,62,6,punish
120,oa,2.84338875476421,1,reward
120,oa,6.79595492048949,2,reward
120,oa,8.00009404261153,3,reward
120,oa,13.9932324335721,4,reward
120,oa,14.9859046923804,5,reward
120,oa,32.0684191765354,6,reward
120,oa,3,1,punish
120,oa,3,2,punish
120,oa,2.60177465406216,3,punish
120,oa,4.4989222751079,4,punish
120,oa,12.9648462297512,5,punish
120,oa,38.0165208286467,6,punish
122,oa,3,1,reward
122,oa,2.82398928667982,2,reward
122,oa,10,3,reward
122,oa,18.0994431900482,4,reward
122,oa,90.9999999999689,5,reward
122,oa,95.9402842717616,6,reward
122,oa,2.82085839412108,1,punish
122,oa,7.5,2,punish
122,oa,2.26392962403385,3,punish
122,oa,4.82994163609432,4,punish
122,oa,5.32957193303353,5,punish
122,oa,19.9729060965096,6,punish
123,oa,4.87212064151095,1,reward
123,oa,5.49976094318348,2,reward
123,oa,9.99987671158989,3,reward
123,oa,15.00001416817,4,reward
123,oa,25.990880128657,5,reward
123,oa,77.9589491336242,6,reward
123,oa,3.50485638169766,1,punish
123,oa,3.61289456854712,2,punish
123,oa,5.32512532837984,3,punish
123,oa,13.9829000765543,4,punish
123,oa,26.4213204022673,5,punish
123,oa,56,6,punish
124,oa,3,1,reward
124,oa,2.81232619578716,2,reward
124,oa,5.30759583057382,3,reward
124,oa,9.97365540146747,4,reward
124,oa,18.5715752643615,5,reward
124,oa,33.0480212227316,6,reward
124,oa,3,1,punish
124,oa,3,2,punish
124,oa,2.16456920855701,3,punish
124,oa,2.7408402641462,4,punish
124,oa,3.23053921027565,5,punish
124,oa,15.500465942485,6,punish
125,oa,5.99498215142005,1,reward
125,oa,7.53160825306216,2,reward
125,oa,15.9947878819917,3,reward
125,oa,37.8289877974454,4,reward
125,oa,100,5,reward
125,oa,100,6,reward
125,oa,4.4972856838543,1,punish
125,oa,8.49508722737646,2,punish
125,oa,14.4386153856901,3,punish
125,oa,21.0146392133212,4,punish
125,oa,21.9946745837044,5,punish
125,oa,34.0000320050001,6,punish
