age_group,m,sd
18-24,2.4545454545454546,1.5954480704349312
25-34,2.9130434782608696,1.7866926236487815
35-44,3.4536082474226806,1.5139670471748292
45-54,3.402173913043478,1.5195414476677245
55-64,4.065217391304348,1.3233320556340344
65+,4.826086956521739,1.4663552190579532
