test_name,pBinomial,zFull,pFull,zHalf,pHalf,kFull,kHalf
Right-skewness test,0,-18.614,0,-19.693,0,60(35.3%),49(28.8%)
Flatness test,0.976,12.517,1,18.243,1,60(35.3%),49(28.8%)
