age,m,sd,n
3,2.961904761904762,2.4889685429703876,84
4,2.9442229605020303,2.43946332029243,86
5,2.8142222222222224,2.6694533487553556,75
6,2.4541666666666666,2.0758392721804464,104
7,2.7332990397805212,2.4550101712495778,81
8,2.6353535353535356,1.9796750631808298,55
9,2.3070707070707073,3.3035830631292424,11
