test_name,pBinomial,zFull,pFull,zHalf,pHalf,kFull,kHalf
Right-skewness test,0,-12.639,0,-13.528,0,36(33.3%),29(26.9%)
Flatness test,0.924,8.103,1,12.847,1,36(33.3%),29(26.9%)
