test_name,pBinomial,zFull,pFull,zHalf,pHalf,kFull,kHalf
Right-skewness test,0.212,-5.166,0,-5.135,0,14(53.8%),9(34.6%)
Flatness test,0.37,2.899,0.998,6.721,1,14(53.8%),9(34.6%)
